"","Trait","ID.x","value","ID.y","value_op"
"1","As75","B97",0.011041734,"B97OP",0.009920417
"2","B11","B97",3.857647774,"B97OP",3.805
"3","Ca43","B97",71.15548293,"B97OP",7.17875
"4","Cd111","B97",0.013841063,"B97OP",0.004539583
"5","Co59","B97",0.001114518,"B97OP",0.002414583
"6","Cu65","B97",1.847157219,"B97OP",3.137083333
"7","Fe57","B97",18.63274535,"B97OP",24.4925
"8","K39","B97",3195.574926,"B97OP",4106.589583
"9","Mg25","B97",1331.039158,"B97OP",1585.977917
"10","Mn55","B97",6.225027155,"B97OP",7.641666667
"11","Mo98","B97",0.341837568,"B97OP",0.813185417
"12","Na23","B97",2.630686606,"B97OP",2.766666667
"13","Ni60","B97",0.200925542,"B97OP",0.500845833
"14","P31","B97",3063.793921,"B97OP",4319.51875
"15","Rb85","B97",1.374498036,"B97OP",0.005811667
"16","S34","B97",956.912287,"B97OP",1226.8125
"17","Se82","B97",2.051594861,"B97OP",0.569099583
"18","Sr88","B97",0.143570467,"B97OP",0.230833333
"19","Zn66","B97",22.69570747,"B97OP",41.28708333
